Unnamed: 0,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x,20-30여성비
0,강원도,강릉시,47006,25199,21807,43830,211643,0.4975,1,0,강릉,3,11,-3.6080500361655945
1,강원도,고성군,5217,3175,2042,7755,26792,0.2633,1,0,고성(강원),0,10,-10.85873107149703
2,강원도,동해시,18727,10469,8258,17572,89814,0.47,1,0,동해,4,11,-5.903241309339458
3,강원도,삼척시,13583,7469,6117,16077,65623,0.3805,1,0,삼척,5,11,-4.965766031068247
4,강원도,속초시,18080,9909,8171,15170,81497,0.5386,0,0,속초,1,10,-4.806415929203539
5,강원도,양구군,5816,3611,2207,4558,22379,0.4842,1,0,양구,0,9,-12.05295735900963
6,강원도,양양군,4740,2678,2064,8083,27628,0.2554,1,0,양양,2,10,-6.455696202531646
7,강원도,영월군,6203,3493,2712,11051,38345,0.2454,1,0,영월,7,10,-6.279219732387553
8,강원도,원주시,90119,46821,43299,51187,349361,0.8459,0,0,원주,5,10,-1.9535281128285953
9,강원도,인제군,8018,4963,3057,6300,31502,0.4852,1,0,인제,1,8,-11.87328510850586
10,강원도,정선군,6046,3430,2617,9750,36313,0.2684,1,0,정선,3,10,-6.715183592457824
11,강원도,철원군,10704,6498,4206,9872,44768,0.4261,1,0,철원,0,7,-10.70627802690583
12,강원도,춘천시,71296,37087,34211,48578,279745,0.7042,0,0,춘천,1,9,-2.015540843806102
13,강원도,태백시,7685,4203,3482,10034,42288,0.347,1,0,태백,4,10,-4.69095640858816
14,강원도,평창군,6654,3730,2925,11392,41489,0.2568,1,0,평창,6,10,-6.041478809738504
15,강원도,홍천군,12874,7362,5513,17500,68652,0.315,1,0,홍천,2,8,-7.177256485940653
16,강원도,화천군,6754,4372,2382,5404,24704,0.4408,1,0,화천,0,8,-14.73201066034942
17,강원도,횡성군,7436,4067,3369,13230,46150,0.2546,1,0,횡성,2,9,-4.693383539537388
18,경기도,가평군,11954,6642,5313,15645,61675,0.3396,1,0,가평,3,7,-5.554626066588591
19,경기도,과천시,16507,8549,7958,8298,59891,0.959,0,0,과천,8,6,-1.7901496334888245
