,시도명,시군구명,스타벅스,커피빈,이디야,빽다방,커피지수,ID
0,강원도,강릉시,4,0,17,2,0.21,강릉
1,강원도,고성군,1,0,0,0,0.0,고성(강원)
2,강원도,동해시,1,1,1,1,1.0,동해
3,강원도,삼척시,0,0,5,1,0.0,삼척
4,강원도,속초시,4,0,9,0,0.44,속초
5,강원도,양구군,0,0,1,0,0.0,양구
6,강원도,양양군,0,0,2,0,0.0,양양
7,강원도,영월군,0,0,1,0,0.0,영월
8,강원도,원주시,8,1,15,3,0.5,원주
9,강원도,인제군,2,0,3,0,0.67,인제
10,강원도,정선군,0,0,1,0,0.0,정선
11,강원도,철원군,0,0,2,0,0.0,철원
12,강원도,춘천시,9,0,27,4,0.29,춘천
13,강원도,태백시,0,0,1,1,0.0,태백
14,강원도,평창군,3,0,2,0,1.5,평창
15,강원도,홍천군,2,0,3,1,0.5,홍천
16,강원도,화천군,0,0,1,2,0.0,화천
17,강원도,횡성군,1,0,1,0,1.0,횡성
18,경기도,가평군,2,0,8,0,0.25,가평
19,경기도,고양시 덕양구,11,1,17,10,0.44,고양시 덕양
20,경기도,고양시 일산동구,11,1,12,6,0.67,고양시 일산동
21,경기도,고양시 일산서구,15,1,11,4,1.07,고양시 일산서
22,경기도,과천시,3,0,2,0,1.5,과천
23,경기도,광명시,10,1,7,3,1.1,광명
24,경기도,광주시,6,0,14,4,0.33,광주
25,경기도,구리시,4,0,10,3,0.31,구리
26,경기도,군포시,5,1,7,9,0.38,군포
27,경기도,김포시,14,2,17,13,0.53,김포
28,경기도,남양주시,12,1,43,7,0.26,남양주
29,경기도,동두천시,2,0,2,1,0.67,동두천
30,경기도,부천시,16,5,26,13,0.54,부천
31,경기도,성남시 분당구,44,6,15,10,2.0,성남시 분당
32,경기도,성남시 수정구,3,1,11,6,0.24,성남시 수정
33,경기도,성남시 중원구,2,1,9,6,0.2,성남시 중원
34,경기도,수원시 권선구,8,1,10,5,0.6,수원시 권선
35,경기도,수원시 영통구,13,3,15,4,0.84,수원시 영통
36,경기도,수원시 장안구,4,3,4,5,0.78,수원시 장안
37,경기도,수원시 팔달구,8,2,6,5,0.91,수원시 팔달
38,경기도,시흥시,8,0,17,9,0.31,시흥
39,경기도,안산시 단원구,5,0,25,7,0.16,안산시 단원
40,경기도,안산시 상록구,2,0,15,2,0.12,안산시 상록
41,경기도,안성시,6,0,4,0,1.5,안성
42,경기도,안양시 동안구,14,1,14,3,0.88,안양시 동안
43,경기도,안양시 만안구,4,1,9,7,0.31,안양시 만안
44,경기도,양주시,7,0,16,2,0.39,양주
45,경기도,양평군,3,0,4,1,0.6,양평
46,경기도,여주시,2,1,4,0,0.75,여주
47,경기도,연천군,0,1,1,0,1.0,연천
48,경기도,오산시,6,0,8,2,0.6,오산
49,경기도,용인시 기흥구,12,1,22,9,0.42,용인시 기흥
50,경기도,용인시 수지구,9,1,16,5,0.48,용인시 수지
51,경기도,용인시 처인구,5,1,9,2,0.55,용인시 처인
52,경기도,의왕시,2,0,4,3,0.29,의왕
53,경기도,의정부시,10,0,22,6,0.36,의정부
54,경기도,이천시,8,1,9,2,0.82,이천
55,경기도,파주시,8,1,20,9,0.31,파주
56,경기도,평택시,7,2,19,6,0.36,평택
57,경기도,포천시,5,0,11,0,0.45,포천
58,경기도,하남시,10,1,27,3,0.37,하남
59,경기도,화성시,19,5,27,18,0.53,화성
60,경상남도,거제시,6,0,9,0,0.67,거제
61,경상남도,거창군,0,0,1,2,0.0,거창
62,경상남도,고성군,0,0,1,2,0.0,고성(경남)
63,경상남도,김해시,13,1,30,3,0.42,김해
64,경상남도,남해군,0,0,1,0,0.0,남해
65,경상남도,밀양시,3,0,6,2,0.38,밀양
66,경상남도,사천시,2,0,4,0,0.5,사천
67,경상남도,산청군,1,0,1,0,1.0,산청
68,경상남도,양산시,7,0,9,1,0.7,양산
69,경상남도,의령군,0,0,0,0,0.0,의령
70,경상남도,진주시,7,1,18,10,0.29,진주
71,경상남도,창녕군,1,0,2,1,0.33,창녕
72,경상남도,창원시,0,0,0,0,0.0,창원
73,경상남도,창원시 마산합포구,4,1,6,0,0.83,창원시 마산합포
74,경상남도,창원시 마산회원구,6,0,4,2,1.0,창원시 마산회원
75,경상남도,창원시 성산구,10,3,13,2,0.87,창원시 성산
76,경상남도,창원시 의창구,4,0,8,0,0.5,창원시 의창
77,경상남도,창원시 진해구,2,1,6,1,0.43,창원시 진해
78,경상남도,통영시,1,1,0,3,0.67,통영
79,경상남도,하동군,1,0,0,1,1.0,하동
80,경상남도,함안군,0,2,1,0,2.0,함안
81,경상남도,함양군,0,0,1,3,0.0,함양
82,경상남도,합천군,0,0,1,0,0.0,합천
83,경상북도,경산시,8,0,8,4,0.67,경산
84,경상북도,경주시,7,2,25,1,0.35,경주
85,경상북도,고령군,1,0,1,1,0.5,고령
86,경상북도,구미시,10,0,15,5,0.5,구미
87,경상북도,군위군,0,0,0,0,0.0,군위
88,경상북도,김천시,2,0,2,1,0.67,김천
89,경상북도,문경시,1,0,4,1,0.2,문경
90,경상북도,봉화군,0,0,0,0,0.0,봉화
91,경상북도,상주시,0,1,2,0,0.5,상주
92,경상북도,성주군,1,0,1,0,1.0,성주
93,경상북도,안동시,5,0,6,1,0.71,안동
94,경상북도,영덕군,1,1,2,0,1.0,영덕
95,경상북도,영양군,1,0,0,0,0.0,영양
96,경상북도,영주시,0,0,2,2,0.0,영주
97,경상북도,영천시,0,0,2,2,0.0,영천
98,경상북도,예천군,0,0,1,1,0.0,예천
99,경상북도,울릉군,0,0,0,0,0.0,울릉
100,경상북도,울진군,0,1,3,1,0.25,울진
101,경상북도,의성군,0,0,0,0,0.0,의성
102,경상북도,청도군,1,0,1,0,1.0,청도
103,경상북도,청송군,1,1,1,0,2.0,청송
104,경상북도,칠곡군,0,0,6,2,0.0,칠곡
105,경상북도,포항시 남구,8,0,6,2,1.0,포항시 남
106,경상북도,포항시 북구,5,1,11,3,0.43,포항시 북
107,광주광역시,광산구,14,0,20,4,0.58,광주 광산
108,광주광역시,남구,11,2,9,2,1.18,광주 남구
109,광주광역시,동구,9,1,2,4,1.67,광주 동구
110,광주광역시,북구,12,0,16,3,0.63,광주 북구
111,광주광역시,서구,11,1,13,1,0.86,광주 서구
112,대구광역시,남구,3,0,6,0,0.5,대구 남구
113,대구광역시,달서구,18,0,16,8,0.75,대구 달서
114,대구광역시,달성군,4,0,10,3,0.31,대구 달성
115,대구광역시,동구,9,0,9,3,0.75,대구 동구
116,대구광역시,북구,5,0,10,5,0.33,대구 북구
117,대구광역시,서구,2,0,3,2,0.4,대구 서구
118,대구광역시,수성구,19,1,10,4,1.43,대구 수성
119,대구광역시,중구,9,3,7,4,1.09,대구 중구
120,대전광역시,대덕구,5,0,4,2,0.83,대전 대덕
121,대전광역시,동구,5,0,2,7,0.56,대전 동구
122,대전광역시,서구,22,1,13,17,0.77,대전 서구
123,대전광역시,유성구,12,1,12,10,0.59,대전 유성
124,대전광역시,중구,5,0,3,7,0.5,대전 중구
125,부산광역시,강서구,3,1,8,0,0.5,부산 강서
126,부산광역시,금정구,8,0,7,1,1.0,부산 금정
127,부산광역시,기장군,4,1,5,0,1.0,부산 기장
128,부산광역시,남구,6,0,13,1,0.43,부산 남구
129,부산광역시,동구,4,1,1,0,5.0,부산 동구
130,부산광역시,동래구,5,0,13,1,0.36,부산 동래
131,부산광역시,부산진구,19,1,8,3,1.82,부산 부산진
132,부산광역시,북구,2,1,7,3,0.3,부산 북구
133,부산광역시,사상구,3,0,4,0,0.75,부산 사상
134,부산광역시,사하구,8,0,8,1,0.89,부산 사하
135,부산광역시,서구,2,0,2,0,1.0,부산 서구
136,부산광역시,수영구,6,1,5,0,1.4,부산 수영
137,부산광역시,연제구,6,0,8,0,0.75,부산 연제
138,부산광역시,영도구,1,0,2,0,0.5,부산 영도
139,부산광역시,중구,8,3,4,3,1.57,부산 중구
140,부산광역시,해운대구,33,4,7,3,3.7,부산 해운대
141,서울특별시,강남구,76,39,23,10,3.48,서울 강남
142,서울특별시,강동구,13,6,14,9,0.83,서울 강동
143,서울특별시,강북구,5,0,11,4,0.33,서울 강북
144,서울특별시,강서구,16,5,34,10,0.48,서울 강서
145,서울특별시,관악구,11,2,21,7,0.46,서울 관악
146,서울특별시,광진구,17,3,12,6,1.11,서울 광진
147,서울특별시,구로구,10,2,18,8,0.46,서울 구로
148,서울특별시,금천구,11,2,17,1,0.72,서울 금천
149,서울특별시,노원구,11,2,17,8,0.52,서울 노원
150,서울특별시,도봉구,2,0,11,4,0.13,서울 도봉
151,서울특별시,동대문구,9,3,16,3,0.63,서울 동대문
152,서울특별시,동작구,11,1,10,3,0.92,서울 동작
153,서울특별시,마포구,26,7,21,6,1.22,서울 마포
154,서울특별시,서대문구,17,4,12,4,1.31,서울 서대문
155,서울특별시,서초구,38,23,13,5,3.39,서울 서초
156,서울특별시,성동구,5,1,13,9,0.27,서울 성동
157,서울특별시,성북구,15,3,17,10,0.67,서울 성북
158,서울특별시,송파구,33,7,28,7,1.14,서울 송파
159,서울특별시,양천구,14,4,15,1,1.12,서울 양천
160,서울특별시,영등포구,28,7,25,6,1.13,서울 영등포
161,서울특별시,용산구,18,3,10,4,1.5,서울 용산
162,서울특별시,은평구,6,2,18,6,0.33,서울 은평
163,서울특별시,종로구,27,13,10,3,3.08,서울 종로
164,서울특별시,중구,42,7,13,5,2.72,서울 중구
165,서울특별시,중랑구,6,1,13,7,0.35,서울 중랑
166,세종특별자치시,세종특별자치시,7,0,14,6,0.35,세종특별자치
167,울산광역시,남구,14,1,28,7,0.43,울산 남구
168,울산광역시,동구,2,0,7,1,0.25,울산 동구
169,울산광역시,북구,5,0,16,1,0.29,울산 북구
170,울산광역시,울주군,1,0,10,0,0.1,울산 울주
171,울산광역시,중구,6,1,12,0,0.58,울산 중구
172,인천광역시,강화군,1,0,1,1,0.5,인천 강화
173,인천광역시,계양구,4,0,14,6,0.2,인천 계양
174,인천광역시,남동구,12,1,26,12,0.34,인천 남동
175,인천광역시,동구,2,0,1,1,1.0,인천 동구
176,인천광역시,미추홀구,10,0,13,5,0.56,인천 미추홀
177,인천광역시,부평구,9,1,22,6,0.36,인천 부평
178,인천광역시,서구,10,0,23,17,0.25,인천 서구
179,인천광역시,연수구,14,5,15,10,0.76,인천 연수
180,인천광역시,옹진군,1,0,2,0,0.5,인천 옹진
181,인천광역시,중구,4,2,11,7,0.33,인천 중구
182,전라남도,강진군,0,0,1,0,0.0,강진
183,전라남도,고흥군,0,0,2,0,0.0,고흥
184,전라남도,곡성군,0,0,1,0,0.0,곡성
185,전라남도,광양시,2,0,9,2,0.18,광양
186,전라남도,구례군,0,0,1,0,0.0,구례
187,전라남도,나주시,1,0,4,3,0.14,나주
188,전라남도,담양군,0,0,1,0,0.0,담양
189,전라남도,목포시,5,0,11,9,0.25,목포
190,전라남도,무안군,1,0,5,3,0.12,무안
191,전라남도,보성군,0,0,0,0,0.0,보성
192,전라남도,순천시,5,0,19,4,0.22,순천
193,전라남도,신안군,0,0,1,0,0.0,신안
194,전라남도,여수시,8,0,18,3,0.38,여수
195,전라남도,영광군,0,0,3,0,0.0,영광
196,전라남도,영암군,0,0,2,1,0.0,영암
197,전라남도,완도군,0,0,1,0,0.0,완도
198,전라남도,장성군,0,0,1,0,0.0,장성
