,시도명,시군구명,스타벅스,커피빈,이디야,빽다방,커피지수,ID,y,x
0,강원도,강릉시,4,0,17,2,0.21,강릉,3,11
1,강원도,고성군,1,0,0,0,0.0,고성(강원),0,10
2,강원도,동해시,1,1,1,1,1.0,동해,4,11
3,강원도,삼척시,0,0,5,1,0.0,삼척,5,11
4,강원도,속초시,4,0,9,0,0.44,속초,1,10
5,강원도,양구군,0,0,1,0,0.0,양구,0,9
6,강원도,양양군,0,0,2,0,0.0,양양,2,10
7,강원도,영월군,0,0,1,0,0.0,영월,7,10
8,강원도,원주시,8,1,15,3,0.5,원주,5,10
9,강원도,인제군,2,0,3,0,0.67,인제,1,8
10,강원도,정선군,0,0,1,0,0.0,정선,3,10
11,강원도,철원군,0,0,2,0,0.0,철원,0,7
12,강원도,춘천시,9,0,27,4,0.29,춘천,1,9
13,강원도,태백시,0,0,1,1,0.0,태백,4,10
14,강원도,평창군,3,0,2,0,1.5,평창,6,10
15,강원도,홍천군,2,0,3,1,0.5,홍천,2,8
16,강원도,화천군,0,0,1,2,0.0,화천,0,8
17,강원도,횡성군,1,0,1,0,1.0,횡성,2,9
18,경기도,가평군,2,0,8,0,0.25,가평,3,7
19,경기도,과천시,3,0,2,0,1.5,과천,8,6
20,경기도,광명시,10,1,7,3,1.1,광명,4,3
21,경기도,광주시,6,0,14,4,0.33,광주,7,9
22,경기도,구리시,4,0,10,3,0.31,구리,3,8
23,경기도,군포시,5,1,7,9,0.38,군포,9,4
24,경기도,김포시,14,2,17,13,0.53,김포,4,2
25,경기도,남양주시,12,1,43,7,0.26,남양주,2,7
26,경기도,동두천시,2,0,2,1,0.67,동두천,1,4
27,경기도,부천시,16,5,26,13,0.54,부천,5,2
28,경기도,시흥시,8,0,17,9,0.31,시흥,7,3
29,경기도,안성시,6,0,4,0,1.5,안성,11,6
30,경기도,양주시,7,0,16,2,0.39,양주,1,3
31,경기도,양평군,3,0,4,1,0.6,양평,4,9
32,경기도,여주시,2,1,4,0,0.75,여주,5,9
33,경기도,연천군,0,1,1,0,1.0,연천,1,5
34,경기도,오산시,6,0,8,2,0.6,오산,10,4
35,경기도,의왕시,2,0,4,3,0.29,의왕,9,5
36,경기도,의정부시,10,0,22,6,0.36,의정부,1,7
37,경기도,이천시,8,1,9,2,0.82,이천,6,9
38,경기도,파주시,8,1,20,9,0.31,파주,2,3
39,경기도,평택시,7,2,19,6,0.36,평택,11,4
40,경기도,포천시,5,0,11,0,0.45,포천,1,6
41,경기도,하남시,10,1,27,3,0.37,하남,3,9
42,경기도,화성시,19,5,27,18,0.53,화성,10,3
43,경상남도,거제시,6,0,9,0,0.67,거제,22,8
44,경상남도,거창군,0,0,1,2,0.0,거창,16,6
45,경상남도,고성군,0,0,1,2,0.0,고성(경남),22,7
46,경상남도,김해시,13,1,30,3,0.42,김해,20,9
47,경상남도,남해군,0,0,1,0,0.0,남해,22,6
48,경상남도,밀양시,3,0,6,2,0.38,밀양,17,8
49,경상남도,사천시,2,0,4,0,0.5,사천,21,6
50,경상남도,산청군,1,0,1,0,1.0,산청,19,5
51,경상남도,양산시,7,0,9,1,0.7,양산,19,7
52,경상남도,의령군,0,0,0,0,0.0,의령,18,7
53,경상남도,진주시,7,1,18,10,0.29,진주,18,6
54,경상남도,창녕군,1,0,2,1,0.33,창녕,17,7
